Intro,StimFileLeft,StimFileRight,N1,N2,Distance,MagnitudeN2,Correct,Ratio,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,NumTraining.thisRepN,NumTraining.thisTrialN,NumTraining.thisN,NumTraining.thisIndex,CompExp.thisRepN,CompExp.thisTrialN,CompExp.thisN,CompExp.thisIndex,thisRow.t,notes,Instruction_Pages.started,InstructionPage.started,InstructionResponse.started,Instruction_Pages.stopped,InstructionResponse.keys,InstructionResponse.rt,InstructionResponse.duration,NumProc.started,Fix.started,blank2.started,Fix.stopped,blank2.stopped,DotsLeft.started,DotRight.started,targetResp.started,NumProc.stopped,targetResp.keys,targetResp.corr,targetResp.rt,targetResp.duration,feedbackNum.started,FBnum.started,feedbackNum.stopped,FBnum.stopped,InstructionExpNum.started,StartExp.started,InstructionExpResp.started,InstructionExpNum.stopped,InstructionExpResp.keys,InstructionExpResp.rt,InstructionExpResp.duration,ThisIsTheEnd.started,TheEnd.started,TheEnd.stopped,ThisIsTheEnd.stopped,Do NOT enter your name here:,participant,session,How old are you?,M o F,date,expName,psychopyVersion,frameRate,expStart,
TCS_DotComp_InstructionImages/slide1.JPG,,,,,,,,,0,0,0,0,,,,,,,,,0.06305359999532811,,0.010966400004690513,0.06305359999532811,0.06305359999532811,0.9341715000045951,space,0.8525317999883555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
TCS_DotComp_InstructionImages/slide2.JPG,,,,,,,,,0,1,1,1,,,,,,,,,0.953484199999366,,0.9358742000040365,0.953484199999366,0.953484199999366,1.502366400003666,space,0.5385958000115352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
TCS_DotComp_InstructionImages/slide3.JPG,,,,,,,,,0,2,2,2,,,,,,,,,1.5351433000032557,,1.5036113999958616,1.5351433000032557,1.5351433000032557,1.9348706000018865,space,0.38895680000132415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
TCS_DotComp_InstructionImages/slide4.JPG,,,,,,,,,0,3,3,3,,,,,,,,,1.9622020999959204,,1.9359706999966875,1.9622020999959204,1.9622020999959204,2.7353792999929283,space,0.7624394000013126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
TCS_DotComp_InstructionImages/slide5.JPG,,,,,,,,,0,4,4,4,,,,,,,,,2.763895299998694,,2.736700800000108,2.763895299998694,2.763895299998694,3.152082300002803,space,0.38681999999971595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
TCS_DotComp_InstructionImages/slide6.JPG,,,,,,,,,0,5,5,5,,,,,,,,,3.1780119000031846,,3.153551499999594,3.1780119000031846,3.1780119000031846,3.6013703999924473,space,0.412354600004619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_16_2.bmp,TCS_DotComp_StimImages/1_12_2.bmp,16,12,far,smaller,s,0.75,,,,,0,0,0,0,,,,,3.664160999993328,,,,,,,,,3.6232903999916743,3.664160999993328,4.116858299996238,4.1666637000016635,4.617245400004322,4.617245400004322,4.617245400004322,4.617245400004322,6.050900699992781,s,1,1.4184221000032267,None,6.052025800003321,6.074608800001442,7.067104499990819,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_24_5.bmp,TCS_DotComp_StimImages/2_32_5.bmp,32,24,far,smaller,l,0.75,,,,,0,1,1,6,,,,,7.109176600002684,,,,,,,,,7.067943499991088,7.109176600002684,7.565951700002188,7.616778800002066,8.067116899997927,8.067116899997927,8.067116899997927,8.067116899997927,8.601138600002741,l,1,0.522749499999918,None,8.602219599997625,8.616613499994855,9.600331599998754,9.64420739999332,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_16_6.bmp,TCS_DotComp_StimImages/2_12_6.bmp,16,12,far,smaller,s,0.75,,,,,0,2,2,2,,,,,9.64420739999332,,,,,,,,,9.601164199993946,9.64420739999332,10.116527599995607,10.14997179999773,10.616972200004966,10.616972200004966,10.616972200004966,10.616972200004966,11.452870199995232,s,1,0.834352999998373,None,11.454013800001121,11.466354599993792,12.45024750000448,12.49108680000063,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_16_8.bmp,TCS_DotComp_StimImages/2_12_8.bmp,16,12,far,smaller,s,0.75,,,,,0,3,3,3,,,,,12.49108680000063,,,,,,,,,12.450959399997373,12.49108680000063,12.966341299994383,12.999475699994946,13.46651820000261,13.46651820000261,13.46651820000261,13.46651820000261,14.201394799994887,l,0,0.7263081000128295,None,14.20249719999265,14.219038199997158,15.216454900000826,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_24_7.bmp,TCS_DotComp_StimImages/2_32_7.bmp,32,24,far,smaller,l,0.75,,,,,0,4,4,7,,,,,15.258167699998012,,,,,,,,,15.217164100002265,15.258167699998012,15.715803700004471,15.766240299999481,16.216604300003382,16.216604300003382,16.216604300003382,16.216604300003382,16.71722079999745,l,1,0.4936816999979783,None,16.717980200002785,16.73223069999949,17.71747219999088,17.756554399995366,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_24_3.bmp,TCS_DotComp_StimImages/1_32_3.bmp,32,24,far,smaller,l,0.75,,,,,0,5,5,5,,,,,17.756554399995366,,,,,,,,,17.718379199999617,17.756554399995366,18.23295340000186,18.268126800001482,18.733526600000914,18.733526600000914,18.733526600000914,18.733526600000914,19.31852760000038,s,0,0.5838501999969594,None,19.319304799995734,19.33279020000191,20.317099099993357,20.35908219999692,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_24_1.bmp,TCS_DotComp_StimImages/1_32_1.bmp,32,24,far,smaller,l,0.75,,,,,0,6,6,4,,,,,20.35908219999692,,,,,,,,,20.31794949999312,20.35908219999692,20.832505400001537,20.865953999993508,21.333104799996363,21.333104799996363,21.333104799996363,21.333104799996363,21.883284499999718,l,1,0.5351035000057891,None,21.88408819999313,21.89927969999553,22.883594700004323,22.924604600004386,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_16_4.bmp,TCS_DotComp_StimImages/1_12_4.bmp,16,12,far,smaller,s,0.75,,,,,0,7,7,1,,,,,22.924604600004386,,,,,,,,,22.884479300002567,22.924604600004386,23.3995983999921,23.432436200004304,23.89970729999186,23.89970729999186,23.89970729999186,23.89970729999186,24.784126300000935,s,1,0.8744475999992574,None,24.785170000002836,24.799369000000297,25.782881899998756,25.800184299994726,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
