ID,num_lx,num_rx,DeltaSZ,DeltaSP,dNum,resp,acc,RT,Group,DeltaNB
101,32,8,-2,2,2,0,1,1.818727082,4yo,-2
101,10,13,1.333333333,1.666666667,0.333333333,1,1,0.123389337,4yo,0.378511623
101,20,18,-0.5,0.833333333,0.166666667,0,1,1.111587537,4yo,-0.152003093
101,9,13,-1.5,0.5,0.5,1,1,0.72551408,4yo,0.530514717
101,14,13,1.166666667,-1.5,0.166666667,1,0,1.426299855,4yo,-0.106915204
101,23,25,-0.5,-0.166666667,0.166666667,1,1,2.039846957,4yo,0.120294234
101,32,8,-2,-0.666666667,2,0,1,1.122047597,4yo,-2
101,25,29,0.166666667,0.5,0.166666667,1,1,1.352907903,4yo,0.214124805
101,18,20,0.166666667,1.833333333,0.166666667,1,1,1.010896482,4yo,0.152003093
101,18,20,-0.833333333,0.5,0.166666667,1,1,1.184378914,4yo,0.152003093
101,18,16,-0.5,-0.166666667,0.166666667,0,1,1.040986561,4yo,-0.169925001
101,13,14,1.833333333,0.5,0.166666667,1,1,1.384397396,4yo,0.106915204
101,8,32,-2,0.333333333,2,1,1,1.028462448,4yo,2
101,32,8,-1.333333333,1.333333333,2,0,1,0.660106937,4yo,-2
101,32,8,-2,-1.333333333,2,0,1,0.94444328,4yo,-2
101,32,8,1.333333333,-1.666666667,2,0,1,0.997976931,4yo,-2
101,25,32,-1.333333333,2,0.333333333,1,1,0.869906299,4yo,0.35614381
101,32,8,-0.333333333,-1.666666667,2,0,1,1.517741321,4yo,-2
101,13,10,-1,2,0.333333333,0,1,1.105640859,4yo,-0.378511623
101,32,8,-1,0,2,0,1,1.022148899,4yo,-2
101,8,32,1,-1.333333333,2,1,1,1.033684951,4yo,2
101,9,11,0.333333333,-0.333333333,0.333333333,1,1,2.342012258,4yo,0.289506617
101,8,32,0.333333333,-2,2,1,1,1.083252721,4yo,2
101,25,29,-0.166666667,-1.833333333,0.166666667,0,0,2.725753952,4yo,0.214124805
101,16,18,1.166666667,1.166666667,0.166666667,1,1,0.588410585,4yo,0.169925001
101,32,23,-0.833333333,1.833333333,0.5,0,1,1.204929029,4yo,-0.476438044
101,25,23,-1.5,1.166666667,0.166666667,0,1,0.748054771,4yo,-0.120294234
101,10,9,-0.166666667,-0.833333333,0.166666667,0,1,1.155868532,4yo,-0.152003093
101,20,16,-1.666666667,0.666666667,0.333333333,0,1,1.714870845,4yo,-0.321928095
101,10,9,0.833333333,0.166666667,0.166666667,0,1,1.855830346,4yo,-0.152003093
101,25,29,0.166666667,1.833333333,0.166666667,1,1,1.65767295,4yo,0.214124805
101,10,13,1.666666667,-1.666666667,0.333333333,1,1,1.035236793,4yo,0.378511623
101,8,32,0.666666667,0.666666667,2,1,1,1.095449022,4yo,2
101,32,23,0.833333333,-0.833333333,0.5,1,0,1.37549245,4yo,-0.476438044
101,8,32,0.666666667,1,2,1,1,0.637492673,4yo,2
101,10,13,-1.333333333,-1,0.333333333,0,0,2.499913279,4yo,0.378511623
101,9,13,1.833333333,-1.166666667,0.5,0,0,1.077686154,4yo,0.530514717
101,8,32,-1,-2,2,1,1,1.391868287,4yo,2
101,32,25,-1,-1.666666667,0.333333333,1,0,1.994607385,4yo,-0.35614381
101,29,32,-0.5,-1.833333333,0.166666667,0,0,1.180492385,4yo,0.142019005
101,11,10,1.5,0.5,0.166666667,0,1,1.153433188,4yo,-0.137503524
101,9,10,1.166666667,-1.833333333,0.166666667,0,0,3.35581267,4yo,0.152003093
101,8,32,1.666666667,0.333333333,2,1,1,0.913037274,4yo,2
101,8,10,-0.666666667,0,0.333333333,0,0,0.870132203,4yo,0.321928095
101,32,8,-1.333333333,-1.666666667,2,0,1,0.733806169,4yo,-2
101,20,25,1.333333333,0.666666667,0.333333333,1,1,1.104927581,4yo,0.321928095
101,14,10,0.5,-0.166666667,0.5,0,1,1.81707894,4yo,-0.485426827
101,25,18,-0.5,-1.833333333,0.5,0,1,1.414804688,4yo,-0.473931188
101,16,13,1,2,0.333333333,0,1,1.252960011,4yo,-0.299560282
101,16,20,1.333333333,-1,0.333333333,1,1,1.978652135,4yo,0.321928095
101,10,13,-2,-2,0.333333333,0,0,1.351144031,4yo,0.378511623
101,10,14,0.5,-1.833333333,0.5,0,0,0.818188576,4yo,0.485426827
101,29,20,-1.833333333,-1.5,0.5,1,0,0.890970712,4yo,-0.5360529
101,23,25,-0.5,1.5,0.166666667,1,1,1.700898822,4yo,0.120294234
101,8,32,-2,2,2,1,1,0.702165937,4yo,2
101,32,8,0.333333333,0.666666667,2,0,1,1.043734635,4yo,-2
101,32,8,1.333333333,-1.333333333,2,0,1,0.653832745,4yo,-2
101,13,9,0.833333333,1.5,0.5,0,1,0.670382608,4yo,-0.530514717
101,16,13,-0.333333333,1.333333333,0.333333333,0,1,2.391095578,4yo,-0.299560282
101,32,29,-1.833333333,1.5,0.166666667,0,1,1.117652349,4yo,-0.142019005
101,25,32,0.666666667,-2,0.333333333,0,0,0.610711861,4yo,0.35614381
101,8,32,-2,-0.666666667,2,1,1,1.166570591,4yo,2
101,32,8,-0.666666667,1,2,0,1,0.810434196,4yo,-2
101,20,18,1.5,-1.166666667,0.166666667,1,0,0.695589441,4yo,-0.152003093
101,13,9,-0.166666667,0.5,0.5,0,1,1.145029412,4yo,-0.530514717
101,16,23,0.5,-1.166666667,0.5,0,0,1.196843062,4yo,0.523561956
101,13,11,0.166666667,-0.166666667,0.166666667,0,1,1.101253699,4yo,-0.2410081
101,8,32,-1.666666667,2,2,1,1,1.534264147,4yo,2
101,8,32,0,0.333333333,2,1,1,0.560627508,4yo,2
101,32,8,-1.666666667,0.333333333,2,0,1,0.379346709,4yo,-2
101,16,18,-1.5,1.5,0.166666667,1,1,0.106927572,4yo,0.169925001
101,20,25,-1,-0.333333333,0.333333333,1,1,1.847084043,4yo,0.321928095
101,16,18,1.5,-0.5,0.166666667,1,1,1.488634631,4yo,0.169925001
101,13,16,1.666666667,0.333333333,0.333333333,1,1,0.619660629,4yo,0.299560282
101,16,20,2,1.666666667,0.333333333,1,1,0.790892331,4yo,0.321928095
101,8,32,-1,0.666666667,2,1,1,0.039280891,4yo,2
101,20,29,-1.833333333,0.166666667,0.5,1,1,1.7845563,4yo,0.5360529
101,11,16,-0.833333333,1.166666667,0.5,1,1,0.954720718,4yo,0.540568381
101,8,32,1,-0.333333333,2,1,1,0.160181077,4yo,2
101,18,20,-0.5,-1.166666667,0.166666667,0,0,1.113755734,4yo,0.152003093
101,20,18,0.833333333,0.5,0.166666667,0,1,1.020371627,4yo,-0.152003093
101,23,32,1.833333333,1.5,0.5,1,1,0.785735484,4yo,0.476438044
101,16,23,0.5,1.5,0.5,1,1,1.860650995,4yo,0.523561956
101,10,9,-0.5,-1.166666667,0.166666667,1,0,1.392595442,4yo,-0.152003093
101,8,32,-0.333333333,-2,2,1,1,2.184060711,4yo,2
101,14,13,-1.5,-0.5,0.166666667,1,0,1.157495102,4yo,-0.106915204
101,16,13,-1,1.333333333,0.333333333,0,1,0.939883248,4yo,-0.299560282
101,14,13,1.166666667,0.5,0.166666667,1,0,1.237779446,4yo,-0.106915204
101,23,25,-1.166666667,-1.5,0.166666667,0,0,0.970322314,4yo,0.120294234
101,32,29,-1.833333333,1.5,0.166666667,0,1,1.018004289,4yo,-0.142019005
101,11,9,0.333333333,-1,0.333333333,0,1,1.233875861,4yo,-0.289506617
101,32,29,-1.5,-1.833333333,0.166666667,1,0,0.784416464,4yo,-0.142019005
101,32,8,0.333333333,1,2,0,1,2.650265381,4yo,-2
101,8,10,1,1.666666667,0.333333333,1,1,0.684504453,4yo,0.321928095
101,32,8,1.333333333,2,2,0,1,0.488044999,4yo,-2
101,23,18,0.333333333,1.333333333,0.333333333,0,1,0.910432057,4yo,-0.353636955
101,8,32,-1.333333333,-1,2,1,1,0.456650614,4yo,2
101,16,11,0.833333333,-0.166666667,0.5,0,1,1.2189996,4yo,-0.540568381
101,25,20,-1,-2,0.333333333,0,1,5.357692389,4yo,-0.321928095
101,32,25,-2,2,0.333333333,0,1,1.215634233,4yo,-0.35614381
101,20,25,-1.666666667,-2,0.333333333,1,1,1.286080906,4yo,0.321928095
101,11,8,-1.5,-0.833333333,0.5,1,0,1.599223008,4yo,-0.459431619
101,8,32,-1.333333333,1.333333333,2,1,1,1.166379301,4yo,2
101,10,14,-0.166666667,1.166666667,0.5,1,1,1.128503158,4yo,0.485426827
101,10,13,1.666666667,-1.666666667,0.333333333,1,1,0.021504924,4yo,0.378511623
101,25,18,1.5,-1.5,0.5,0,1,1.215295574,4yo,-0.473931188
101,25,20,1.666666667,-1.666666667,0.333333333,1,0,1.343156451,4yo,-0.321928095
101,23,25,-1.833333333,-1.166666667,0.166666667,1,1,2.181623363,4yo,0.120294234
101,32,8,1.333333333,-1,2,0,1,2.181231933,4yo,-2
101,32,8,-1.666666667,-0.666666667,2,1,0,3.78961967,4yo,-2
101,32,8,0.333333333,0.666666667,2,0,1,1.665392728,4yo,-2
101,8,32,-1,-2,2,1,1,1.099704279,4yo,2
101,32,8,2,-0.666666667,2,0,1,1.286350682,4yo,-2
101,13,11,-1.833333333,-1.166666667,0.166666667,0,1,3.342865148,4yo,-0.2410081
101,32,8,1.666666667,0.333333333,2,1,0,1.813406338,4yo,-2
101,29,20,-1.166666667,0.5,0.5,0,1,2.672367609,4yo,-0.5360529
